"";"cmpt";"qtd_contratos";"tot_prov_cen2"
"1";2018-01-01;1890862;3857635314,88344
"2";2018-07-01;1890862;5091143234,11406
"3";2019-01-01;1890862;6205830785,14385
"4";2019-07-01;1890862;8509248775,36618
"5";2020-01-01;1890862;10075389020,9756
"6";2020-07-01;1890862;13774826334,6282
"7";2021-01-01;1890862;15878368588,5119
"8";2021-07-01;1890862;19276403945,5693
"9";2022-01-01;1890862;20285894035,145
"10";2022-07-01;1890862;23329809825,1323
"11";2023-01-01;1890862;24744384098,2786
"12";2023-07-01;1890862;27599272969,9494
"13";2024-01-01;1890862;28866731311,4367
"14";2024-07-01;1890862;29380364373,5161
"15";2025-01-01;1890862;29679091831,3226
"16";2025-07-01;1890862;29968414220,5726
"17";2026-01-01;1890862;30053801152,0817
"18";2026-07-01;1890862;30276014201,9393
"19";2027-01-01;1890862;30499490083,4793
"20";2027-07-01;1890862;30795816133,8949
"21";2028-01-01;1890862;30835865090,0825
"22";2028-07-01;1890862;31038329231,6627
"23";2029-01-01;1890862;31195277645,0902
"24";2029-07-01;1890862;31533327659,2253
"25";2030-01-01;1890862;31441434018,8594
"26";2030-07-01;1890862;31553842985,9472
